Nom,Prénom,Mail,Né(e) le,Téléphone,Sexe,Classe,Projet d'accompagnement,Allergies,Régime,Sport,Club,Formation,Groupes,Toutes les options,Redoublement,Moyenne Générale
CLEMENTE,Brandon,clemente.brandon@gmail.com,19/10/2003,0730818867,Masculin,2MCV1,,,Externe,Karaté,Cinéma,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV1FRANCA, 2MCV1MATHS, 2MCV1VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"10,67"
CODJO,Marc,codjo.marc@orange.fr,16/9/1999,0689139568,Masculin,TCAPC,,Oeuf,Demi-pensionnaire,Karaté,Peinture,2CAP2  CUISINE,,ANGLAIS LV1,FAUX,"16,5"
COHEN-SELMON,Victor,cohen-selmon.victor@outlook.com,14/10/2001,0626994750,Masculin,,,Soja,Demi-pensionnaire,Tennis,Art,,,ANGLAIS LV1,FAUX,"15,51"
COLIN,Guillaume,colin.guillaume@orange.fr,3/5/2000,0774968933,Masculin,1BRA,,,Externe,Tennis,Art,1ERPRO CUISINE,,ANGLAIS LV1,FAUX,"13,87"
CONTE,Adama,conte.adama@orange.fr,10/2/1999,0624462203,Féminin,1BC,,,Externe,Danse,Théâtre,1ERPRO COMMERCE,1BCMATHS,"ANGLAIS LV1, ESPAGNOL LV2",VRAI,"14,14"
CORDUN,Marius,cordun.marius@outlook.com,9/1/2000,0612200098,Masculin,2POP2,,,Externe,Karaté,Robotique,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP2MATHS, 2POP2MATHS_1",ANGLAIS LV1,FAUX,"14,3"
CORNU,Aline,cornu.aline@gmail.com,22/2/2003,0686813904,Féminin,TBP,,Kiwi,Demi-pensionnaire,Danse,Natation,TLEPRO BOULANGER-PÂTISSIER,TBPMATHS,ANGLAIS LV1,FAUX,"17,02"
CORTES,Celia,cortes.celia@outlook.com,11/5/2004,0776201071,Féminin,2POP1,,Poisson,Demi-pensionnaire,Football,Magie,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP1MATHS, 2POP1MATHS_1",ANGLAIS LV1,FAUX,"13,45"
COSNIER,Thomas,cosnier.thomas@outlook.com,18/12/2004,0736981105,Masculin,1ARED,,,Demi-pensionnaire,Natation,Magie,1ERPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"1AREDCONSTR, 1AREDMATHS",ANGLAIS LV1,FAUX,"17,54"
COSSIC,Coralie,cossic.coralie@free.fr,3/11/2002,061482802,Féminin,1BV,,,Demi-pensionnaire,Tennis,Actualité,1ERPRO VENTE (PROSPECT.NEGO.SUIV.CLIENT),"1BVACCPE, 1BVMATHS, 1BVMATHS_1, 1BVVENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"17,69"
COSTA MACHADO,Andreia,costa machado.andreia@gmail.com,10/10/2003,0729760040,Féminin,TBV,,Soja,Externe,Danse,Peinture,TLEPRO VENTE (PROSPECT.NEGO.SUIV.CLIENT),"Musculation Tle G1 R, TBVFRANCA, TBVMATHS","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"16,08"
COTARD,Maxime,cotard.maxime@gmail.com,19/6/2004,0768373383,Masculin,2CAPC,,Fruits à coque,Demi-pensionnaire,Tennis,Cinéma,1CAP2  CUISINE,"2CAPCFRANCA, 2CAPCFRANCA_1, 2CAPCMATHS, 2CAPCMATHS_1, EPS CAP 1",ANGLAIS LV1,FAUX,"15,59"
COUDERC,Jeremy,couderc.jeremy@free.fr,8/8/2000,0641144824,Masculin,2POP3,,Soja,Demi-pensionnaire,Gymnastique,Actualité,2NDPRO SYSTEMES NUMERIQUES 2NDE COMMUNE,"2POP3ACCPE_1, 2POP3MATHS, 2POP3MATHS_1",ANGLAIS LV1,FAUX,"13,03"
COULIBALY,Diakraou,coulibaly.diakraou@free.fr,21/9/1999,0684655813,Masculin,2HCRS,,Soja,Demi-pensionnaire,Karaté,Art,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,"2HCRSACCPE, 2HCRSACCPE_1, 2HCRSMATHS, 2HCRSMATHS_1, 2HCRSMATHS_2, EPS CAP 2",ANGLAIS LV1,FAUX,"15,6"
COULIBALY,Issiaka,coulibaly.issiaka@orange.fr,12/3/2004,0760590534,Masculin,TARED,,Fruits à coque,Demi-pensionnaire,Karaté,Natation,TLEPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"TAREDCONSTR, TAREDMATHS",ANGLAIS LV1,FAUX,"15,02"
COULIBALY,Kathy,coulibaly.kathy@outlook.com,5/3/1999,0753615215,Féminin,2MCV2,,,Demi-pensionnaire,Gymnastique,Peinture,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV2FRANCA, 2MCV2FRANCA_1, 2MCV2MATHS_1, 2MCV2VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"11,66"
COULIBALY,Nama,coulibaly.nama@free.fr,19/4/2001,065630866,Masculin,TBRA,,Poisson,Demi-pensionnaire,Karaté,Cinéma,TLEPRO COMMERC. SERVICES EN RESTAURATION,,ANGLAIS LV1,FAUX,"17,77"
CRESNO,Guillaume,cresno.guillaume@free.fr,21/1/2000,0661054756,Masculin,2BP,,Fruits à coque,Externe,Tennis,Magie,2NDPRO BOULANGER-PÂTISSIER,"2BPACCPE, 2BPMATHS",ANGLAIS LV1,FAUX,"17,05"
CUGUILLERE,Anthony,cuguillere.anthony@gmail.com,14/9/2004,0752200639,Masculin,,,,Demi-pensionnaire,Gymnastique,Peinture,,,ANGLAIS LV1,FAUX,"10,65"
D'ALMEIDA,Ronaldo,d'almeida.ronaldo@yahoo.fr,20/5/2001,0645577699,Masculin,,,Soja,Demi-pensionnaire,Natation,Actualité,1ERPRO COMMERCE,1BCMATHS,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"15,71"
DA CUNHA,Romain,da cunha.romain@free.fr,17/4/2002,0788564116,Masculin,2MCV1,,,Externe,Basketball,Cinéma,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV1FRANCA, 2MCV1MATHS, 2MCV1VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"14,7"
DA SILVA,Roméo,da silva.roméo@free.fr,12/7/2002,0738796412,Masculin,TBRS,,Oeuf,Demi-pensionnaire,Basketball,Magie,TLEPRE EUROP.COMM.ET SERV.EN RESTAU,"TBRSACCPE, TBRSMATHS","ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"10,85"
DABO,Lauryn,dabo.lauryn@outlook.com,13/2/2002,0755925918,Féminin,MCPGCCSA,,Lactose,Demi-pensionnaire,Basketball,Actualité,MC     PATIS.GLACE.CHOC.CONFIS.SPECIAL.,,ANGLAIS LV1,FAUX,"13,11"
DALI,Ornella,dali.ornella@free.fr,28/5/1999,0675117346,Féminin,1BP,,,Demi-pensionnaire,Gymnastique,Actualité,1ERPRO BOULANGER-PÂTISSIER,1BPMATHS,ANGLAIS LV1,FAUX,"11,07"
DAMON,Kevin,damon.kevin@gmail.com,26/11/2004,0634602131,Masculin,TBRS,,Fruits à coque,Demi-pensionnaire,Football,Natation,TLEPRE EUROPEENNE CUISINE,"TBRSACCPE, TBRSMATHS","ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"16,21"
DAN,Kameyan,dan.kameyan@gmail.com,12/4/2000,0674364306,Masculin,TARED,,Oeuf,Demi-pensionnaire,Natation,Art,TLEPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"TAREDCONSTR, TAREDMATHS",ANGLAIS LV1,FAUX,"15,12"
DANG,David,dang.david@yahoo.fr,2/3/2000,0771054903,Masculin,1MELEC,,Poisson,Demi-pensionnaire,Danse,Robotique,1ERPRO METIERS ELECT. ENVIRON. CONNECTES,"1MELECCONSTR, 1MELECMATHS",ANGLAIS LV1,FAUX,"17,84"
DANGLADE-MAREUSE-JOURNEAULT,Julien,danglade-mareuse-journeault.julien@gmail.com,18/1/2001,0794740661,Masculin,,,Soja,Demi-pensionnaire,Natation,Peinture,,,ANGLAIS LV1,FAUX,"11,74"
DARLY,Joana,darly.joana@free.fr,15/5/2002,0718144696,Féminin,,,Oeuf,Demi-pensionnaire,Gymnastique,Robotique,MC     PATIS.GLACE.CHOC.CONFIS.SPECIAL.,,ANGLAIS LV1,FAUX,"17,68"
DARTOIS,Aurore,dartois.aurore@yahoo.fr,26/12/2002,0638494344,Féminin,2BR1,,Poisson,Demi-pensionnaire,Karaté,Art,2NDPRO COMMERC. SERVICES EN RESTAURATION,"2BR1APS CU, 2BR1APS RE, 2BR1FRANCA, 2BR1MATHS_1, 2BR1MATHS_1_1, 2BR1MATHS_2",ANGLAIS LV1,FAUX,"17,43"
DAVID,Mathieu,david.mathieu@yahoo.fr,28/8/1999,0778630080,Masculin,TBRS,,,Demi-pensionnaire,Tennis,Natation,TLEPRE EUROPEENNE CUISINE,"TBRSACCPE, TBRSMATHS","ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"17,26"
DE AGUIAR MONTEIRO,Joao,de aguiar monteiro.joao@free.fr,12/7/2000,0768137844,Masculin,,,,Externe,Danse,Sport,,,ANGLAIS LV1,FAUX,"17,22"
DE COURTILLOLES,Robin,de courtilloles.robin@outlook.com,28/10/2001,07245761,Masculin,1ARED,,,Externe,Football,Magie,1ERPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"1AREDCONSTR, 1AREDMATHS",ANGLAIS LV1,FAUX,"17,04"
DE FRÉMONT,Gaspard,de frémont.gaspard@orange.fr,11/1/1999,0657188632,Masculin,TBP,,Fruits à coque,Demi-pensionnaire,Karaté,Magie,TLEPRO BOULANGER-PÂTISSIER,TBPMATHS,ANGLAIS LV1,FAUX,"10,4"
DE KIMPE,Darren,de kimpe.darren@orange.fr,16/7/2002,0769615325,Masculin,1BRA,,,Externe,Gymnastique,Théâtre,1ERPRO COMMERC. SERVICES EN RESTAURATION,,ANGLAIS LV1,FAUX,"17,19"
DE MORAIS,Amélie,de morais.amélie@outlook.com,15/5/2000,0756133746,Féminin,,,,Externe,Gymnastique,Magie,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"12,98"
DEBGA,Issamdine,debga.issamdine@outlook.com,21/3/2004,0691805917,Masculin,TRISC,,Kiwi,Demi-pensionnaire,Basketball,Natation,TLEPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.,"TRISCCONSTR, TRISCMATHS",ANGLAIS LV1,FAUX,"10,51"
DEBRE BOLI,Patricia,debre boli.patricia@yahoo.fr,24/6/2001,061685583,Féminin,,,Fruits à coque,Demi-pensionnaire,Danse,Cinéma,,,ANGLAIS LV1,FAUX,"17,29"
DEBUSSCHERE,Nina,debusschere.nina@outlook.com,24/10/2000,0722507929,Féminin,1BV,,,Demi-pensionnaire,Natation,Natation,1ERPRE EURO VENTE(PROS.NEGO S.CLT,"1BVACCPE, 1BVMATHS, 1BVMATHS_1, 1BVVENTP","ANGLAIS LV1, ESPAGNOL LV2, ANGLAIS SECTION EURO",FAUX,"14,16"
DECOCQ,Florian,decocq.florian@gmail.com,10/1/1999,0735384165,Masculin,TBRS,,,Externe,Gymnastique,Peinture,TLEPRE EUROP.COMM.ET SERV.EN RESTAU,"TBRSACCPE, TBRSMATHS","ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"17,25"
DEINE,Henri-Emmanuel,deine.henri-emmanuel@orange.fr,5/11/2000,0740623484,Masculin,1BC,,Lactose,Demi-pensionnaire,Tennis,Cinéma,1ERPRO COMMERCE,1BCMATHS,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"12,33"
DEKKAR,Kylian,dekkar.kylian@gmail.com,1/11/1999,0726214460,Masculin,TMELEC,,Poisson,Demi-pensionnaire,Football,Magie,TLEPRO METIERS ELECT. ENVIRON. CONNECTES,"TMELECCONSTR, TMELECMATHS",ANGLAIS LV1,FAUX,"8,2"
DELBARRE,Yohan,delbarre.yohan@gmail.com,5/10/2000,0610473310,Masculin,TBP,,Lactose,Demi-pensionnaire,Football,Théâtre,TLEPRO BOULANGER-PÂTISSIER,TBPMATHS,ANGLAIS LV1,FAUX,"16,36"
DELCOURT,Mathis,delcourt.mathis@gmail.com,14/3/2001,0611145651,Masculin,2MCV2,,Kiwi,Demi-pensionnaire,Danse,Natation,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV2FRANCA, 2MCV2MATHS_1, 2MCV2VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"16,83"
DELIN,Derrick,delin.derrick@gmail.com,15/5/2004,0784882397,Masculin,,,Poisson,Demi-pensionnaire,Natation,Art,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"16,74"
DELOUMEAUX,Elie Emmanuel,deloumeaux.elie emmanuel@outlook.com,6/9/2000,0677362446,Masculin,TARED,,Kiwi,Externe,Karaté,Théâtre,TLEPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"TAREDCONSTR, TAREDMATHS",ANGLAIS LV1,FAUX,"15,93"
DEMBELE,Rokiatou,dembele.rokiatou@free.fr,16/12/2001,0643080575,Féminin,TBV,,Soja,Demi-pensionnaire,Tennis,Cinéma,TLEPRO VENTE (PROSPECT.NEGO.SUIV.CLIENT),"Musculation Tle G2 L, TBVFRANCA, TBVMATHS","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"14,75"
DEME,Aïcha,deme.aïcha@yahoo.fr,1/1/2000,0610446902,Féminin,,,Kiwi,Externe,Tennis,Peinture,TLEPRO BOULANGER-PÂTISSIER,,ANGLAIS LV1,FAUX,"15,55"
DEME,Fallou,deme.fallou@gmail.com,9/4/2002,0640654968,Masculin,2MCV2,,Kiwi,Demi-pensionnaire,Danse,Cinéma,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV2FRANCA, 2MCV2MATHS_1, 2MCV2VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"14,67"
DEME,Salif,deme.salif@outlook.com,10/6/2000,0623882417,Masculin,1RISC,,Kiwi,Externe,Football,Robotique,1ERPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.,"1RISCACCPE, 1RISCACCPE_1, 1RISCFRANCA_1, 1RISCMATHS, 1RISCMATHS_1",ANGLAIS LV1,FAUX,"15,29"
DEPRETZ,Samy,depretz.samy@yahoo.fr,27/11/2001,0672717030,Masculin,1ARED,,Kiwi,Demi-pensionnaire,Karaté,Actualité,1ERPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"1AREDCONSTR, 1AREDMATHS",ANGLAIS LV1,FAUX,"10,15"
DESCAMPS,Léa,descamps.léa@yahoo.fr,14/10/2000,0766989921,Féminin,2EVS,,,Externe,Tennis,Peinture,1CAP2  EMPL.VENTE: PRDTS EQUIP.COURANTS,"2EVSACCPE, 2EVSACCPE_1, 2EVSMATHS_1, 2EVSMATHS_1_1, 2EVSMATHS_2",ANGLAIS LV1,FAUX,"17,75"
DESROSIERS,Jean Edelson,desrosiers.jean edelson@outlook.com,3/5/2000,0615997672,Masculin,2MCV2,,,Demi-pensionnaire,Danse,Sport,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV2FRANCA, 2MCV2MATHS_1, 2MCV2VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"16,55"
DESROSIERS,Jean Rosemondo,desrosiers.jean rosemondo@gmail.com,19/2/2002,0780769494,Masculin,2MCV1,,,Demi-pensionnaire,Danse,Magie,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV1FRANCA, 2MCV1MATHS, 2MCV1VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"16,03"
DESSURNE,Ethan,dessurne.ethan@orange.fr,18/5/2004,0720759765,Masculin,1ARED,,Lactose,Demi-pensionnaire,Natation,Natation,1ERPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"1AREDCONSTR, 1AREDMATHS",ANGLAIS LV1,FAUX,"10,12"
DEVORE,Ivana,devore.ivana@outlook.com,7/12/2003,0734109003,Féminin,2MCV1,,Oeuf,Demi-pensionnaire,Basketball,Art,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV1FRANCA, 2MCV1MATHS, 2MCV1VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"10,31"
DIABY,Bintou,diaby.bintou@outlook.com,5/10/1999,0669218067,Féminin,TEVS,,,Externe,Gymnastique,Peinture,2CAP2  EMPL.VENTE: PRDTS EQUIP.COURANT,,ANGLAIS LV1,FAUX,"11,38"
DIABY,Ladji,diaby.ladji@outlook.com,24/7/2002,0626434524,Masculin,1MELEC,,,Externe,Karaté,Peinture,1ERPRO METIERS ELECT. ENVIRON. CONNECTES,"1MELECCONSTR, 1MELECMATHS",ANGLAIS LV1,FAUX,"11,05"
DIALLO,Ahmadou Chérif,diallo.ahmadou chérif@yahoo.fr,6/11/1999,063582445,Masculin,,,,Externe,Danse,Art,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,,ANGLAIS LV1,FAUX,"13,24"
DIALLO,Boubacar,diallo.boubacar@yahoo.fr,5/6/2000,0787115734,Masculin,,,Oeuf,Demi-pensionnaire,Basketball,Natation,,,ANGLAIS LV1,FAUX,"10,12"
DIALLO,Hadjiratou,diallo.hadjiratou@orange.fr,16/7/2002,0753890990,Féminin,2POP1,,Poisson,Demi-pensionnaire,Gymnastique,Robotique,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP1MATHS, 2POP1MATHS_1",ANGLAIS LV1,FAUX,"15,47"
DIALLO,Issa,diallo.issa@yahoo.fr,2/2/2001,0636802603,Masculin,2BR1,,Kiwi,Demi-pensionnaire,Karaté,Actualité,2NDPRO CUISINE,"2BR1APS CU, 2BR1APS RE, 2BR1FRANCA, 2BR1MATHS_1, 2BR1MATHS_1_1, 2BR1MATHS_2",ANGLAIS LV1,FAUX,"15,7"
DIALLO,Mamadou Saïdou,diallo.mamadou saïdou@gmail.com,27/9/2000,0663475445,Masculin,TMELEC,,Lactose,Demi-pensionnaire,Natation,Théâtre,TLEPRO METIERS ELECT. ENVIRON. CONNECTES,"TMELECCONSTR, TMELECMATHS",ANGLAIS LV1,FAUX,"15,13"
DIALLO,Yoro,diallo.yoro@outlook.com,10/7/2000,061358090,Masculin,TBC,,Soja,Demi-pensionnaire,Football,Natation,TLEPRO COMMERCE,"Musculation Tle G1 R, TBCMATHS, TBCVENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"17,56"
DIALLO,Youssef,diallo.youssef@gmail.com,25/7/2003,0618202145,Masculin,,,,Demi-pensionnaire,Basketball,Art,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"15,83"
DIAOUNE,Abdul-Kadry,diaoune.abdul-kadry@yahoo.fr,12/2/2002,0685164792,Masculin,,,Oeuf,Demi-pensionnaire,Natation,Magie,,,"ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"10,78"
DIARRA,Djibril,diarra.djibril@orange.fr,17/10/2000,0634557415,Masculin,2POP2,,Soja,Demi-pensionnaire,Danse,Magie,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP2MATHS, 2POP2MATHS_1",ANGLAIS LV1,FAUX,"14,76"
DIAS,Vincent,dias.vincent@free.fr,4/2/2004,0717321776,Masculin,TBP,,Lactose,Externe,Football,Peinture,TLEPRO BOULANGER-PÂTISSIER,TBPMATHS,ANGLAIS LV1,FAUX,"12,38"
DIAWARA,Djibril,diawara.djibril@outlook.com,7/8/2002,0751197205,Masculin,,,,Demi-pensionnaire,Danse,Théâtre,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"12,65"
DIBAGA,Awa,dibaga.awa@outlook.com,23/4/2003,0681611113,Féminin,2EVS,,Oeuf,Demi-pensionnaire,Karaté,Natation,1CAP2  EMPL.VENTE: PRDTS EQUIP.COURANTS,"2EVSACCPE, 2EVSACCPE_1, 2EVSMATHS_1, 2EVSMATHS_1_1, 2EVSMATHS_2",ANGLAIS LV1,FAUX,"15,02"
DIEBATE,Abdoulaye,diebate.abdoulaye@free.fr,10/10/2004,0798756454,Masculin,1MELEC,,,Demi-pensionnaire,Natation,Peinture,1ERPRE METIERS ELECT. ENVIRON. CONNECTES,"1MELECCONSTR, 1MELECMATHS","ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"16,51"
DIEYE,Coumba,dieye.coumba@outlook.com,7/10/2000,0629101922,Féminin,TBRA,,Poisson,Externe,Tennis,Théâtre,TLEPRO COMMERC. SERVICES EN RESTAURATION,,ANGLAIS LV1,FAUX,"10,65"
DIF,Rayan,dif.rayan@orange.fr,19/10/2004,0693514554,Masculin,,,Kiwi,Demi-pensionnaire,Natation,Art,,,ANGLAIS LV1,FAUX,"17,4"
DIOMANDE,Aboubacar Sidick,diomande.aboubacar sidick@free.fr,21/5/1999,0750872975,Masculin,,,Oeuf,Demi-pensionnaire,Tennis,Théâtre,2NDPRO CUISINE,,ANGLAIS LV1,FAUX,"16,95"
DIONGASSI,Harouna,diongassi.harouna@outlook.com,18/1/2002,0611938956,Masculin,2HCRS,,Soja,Externe,Gymnastique,Théâtre,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,"2HCRSACCPE, 2HCRSACCPE_1, 2HCRSMATHS, 2HCRSMATHS_1, 2HCRSMATHS_2, EPS CAP 1",ANGLAIS LV1,FAUX,"16,74"
DIOP,Myriam,diop.myriam@gmail.com,6/7/2002,0757573269,Féminin,,,Fruits à coque,Externe,Basketball,Natation,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"13,53"
DJEDJE,Balye,djedje.balye@free.fr,25/4/2003,0655179813,Féminin,1BV,,Kiwi,Demi-pensionnaire,Gymnastique,Robotique,1ERPRO VENTE (PROSPECT.NEGO.SUIV.CLIENT),"1BVACCPE, 1BVMATHS, 1BVMATHS_1, 1BVVENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"15,38"
DJEDJE,Yann-Désir,djedje.yann-désir@yahoo.fr,14/3/2004,0672403149,Masculin,1BV,,,Externe,Football,Sport,1ERPRO VENTE (PROSPECT.NEGO.SUIV.CLIENT),"1BVACCPE, 1BVMATHS, 1BVMATHS_1, 1BVVENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"16,78"
DLIMI,Halim,dlimi.halim@free.fr,8/10/2003,075264328,Masculin,,,,Demi-pensionnaire,Football,Actualité,,,ANGLAIS LV1,FAUX,"12,55"
DLIMI,Hassen,dlimi.hassen@outlook.com,21/1/2002,0694586965,Masculin,2CAPC,,,Externe,Natation,Actualité,1CAP2  CUISINE,"2CAPCFRANCA, 2CAPCMATHS, 2CAPCMATHS_1, EPS CAP 1",ANGLAIS LV1,FAUX,"13,68"
DOMINGUES,Kevin,domingues.kevin@orange.fr,3/8/2001,078040232,Masculin,,,Soja,Demi-pensionnaire,Football,Sport,,,ANGLAIS LV1,FAUX,"17,63"
DONCZEWSKI,Kacper,donczewski.kacper@orange.fr,13/4/2001,0731521419,Masculin,TRISC,,,Demi-pensionnaire,Karaté,Actualité,TLEPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.,"TRISCCONSTR, TRISCFRANCA, TRISCMATHS",ANGLAIS LV1,FAUX,"11,45"
DONGMO SEGALEN,Emeline,dongmo segalen.emeline@orange.fr,27/1/2004,0791843618,Féminin,2MCV2,,Fruits à coque,Externe,Tennis,Art,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV2FRANCA, 2MCV2FRANCA_1, 2MCV2MATHS_1, 2MCV2VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"16,35"
DOORGA,Kévin,doorga.kévin@orange.fr,5/9/2003,0629522105,Masculin,THCRS,,,Externe,Natation,Théâtre,2CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,,ANGLAIS LV1,FAUX,"17,51"
DOS SANTOS,Alexis,dos santos.alexis@free.fr,15/1/1999,0645417120,Masculin,,,Soja,Demi-pensionnaire,Karaté,Peinture,,,ANGLAIS LV1,FAUX,"16,29"
DOS SANTOS,Tiago,dos santos.tiago@gmail.com,13/2/2000,0655454027,Masculin,2POP2,,Poisson,Demi-pensionnaire,Natation,Magie,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP2MATHS, 2POP2MATHS_1",ANGLAIS LV1,FAUX,"17,03"
DOUKOURE,Vakaba,doukoure.vakaba@orange.fr,19/3/2002,0633780252,Masculin,THCRS,,Fruits à coque,Demi-pensionnaire,Natation,Cinéma,2CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,,ANGLAIS LV1,FAUX,"13,46"
DOUMBIA,Djeneba,doumbia.djeneba@free.fr,27/9/2001,0794520109,Féminin,TCAPC,,,Demi-pensionnaire,Basketball,Natation,2CAP2  CUISINE,,ANGLAIS LV1,FAUX,"13,09"
DREPEUBA,Ange,drepeuba.ange@orange.fr,23/4/2004,0626554413,Féminin,2HCRS,,Oeuf,Demi-pensionnaire,Gymnastique,Magie,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,"2HCRSACCPE, 2HCRSMATHS, 2HCRSMATHS_1",ANGLAIS LV1,FAUX,"14,05"
DRIOUECH,Yazid,driouech.yazid@yahoo.fr,22/7/2000,0733095046,Masculin,,,Poisson,Externe,Natation,Peinture,,,"ANGLAIS LV1, ESPAGNOL LV2, ANGLAIS SECTION EURO",FAUX,"10,17"
DRISSA,Chaïda,drissa.chaïda@free.fr,11/3/2003,0749670976,Féminin,1BRS,,Oeuf,Demi-pensionnaire,Danse,Peinture,1ERPRE EUROP.COMMERC. SERVICES EN RESTAU,1BRSMATHS,"ANGLAIS LV1, ANGLAIS SECTION EURO",VRAI,"10,11"
DRISSI EL BOUZAÏDI,Lina,drissi el bouzaïdi.lina@gmail.com,9/8/2004,0789730117,Féminin,2MCV2,,Soja,Demi-pensionnaire,Danse,Actualité,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV2FRANCA, 2MCV2FRANCA_1, 2MCV2MATHS_1, 2MCV2VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"10,57"
DROCHSLER,Marco,drochsler.marco@outlook.com,21/8/2000,0748441507,Masculin,,,Oeuf,Externe,Karaté,Natation,,,ANGLAIS LV1,FAUX,"11,71"
DUGNAT,Adam,dugnat.adam@outlook.com,27/12/2003,0642317807,Masculin,2BP,,Lactose,Externe,Tennis,Art,2NDPRO BOULANGER-PÂTISSIER,"2BPACCPE, 2BPMATHS",ANGLAIS LV1,FAUX,"15,35"
DUJON,Tony,dujon.tony@gmail.com,11/9/2002,0667645110,Masculin,,,Lactose,Demi-pensionnaire,Natation,Actualité,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"17,45"
DUMONT,Kylian,dumont.kylian@orange.fr,8/1/2002,0674893477,Masculin,,,,Externe,Danse,Actualité,2NDPRO CUISINE,"2BR2APS CU, 2BR2FRANCA, 2BR2MATHS",ANGLAIS LV1,FAUX,"17,67"
DUMORLET,Gérémy,dumorlet.gérémy@gmail.com,25/8/2000,0612588484,Masculin,2MCV1,,,Demi-pensionnaire,Karaté,Cinéma,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV1FRANCA, 2MCV1MATHS, 2MCV1VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"11,3"
DURAIN,Evan,durain.evan@yahoo.fr,12/5/2002,0633664477,Masculin,2POP3,,,Externe,Gymnastique,Théâtre,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP3ACCPE_1, 2POP3MATHS, 2POP3MATHS_1",ANGLAIS LV1,FAUX,"12,92"
